VARIABLE NAME,VARIABLE DESCRIPTION,UNIT
SOIL_DEPTH_DATE,Soil depth measurement date,YYYYMMDDHHMM
SOIL_DEPTH_DATE_UNC,Uncertainty in the Soil depth measurement date,days
SOIL_DEPTH_COMMENT,Soil depth comments,free text
VEG_CHEM_SPP,Vegetation chemistry species (taxa),Scientific name
VEG_CHEM_VEGTYPE,Type of vegetation,LIST(VEGTYPE)
VEG_CHEM_ORGAN,Organ or component for which chemistry is reported,LIST(ORGAN)
VEG_CHEM_LMA,Leaf mass per unit leaf area,g cm-1
VEG_CHEM_CONC_CA,Ca concentration in the sample dried at 65 °C,gCa kg-1
VEG_CHEM_CONC_CU,Cu concentration in the sample dried at 65 °C,mgCu kg-1
VEG_CHEM_CONC_FE,Fe concentration in the sample dried at 65 °C,mgFe kg-1
VEG_CHEM_CONC_MG,Mg concentration in the sample dried at 65 °C,gMg kg-1
VEG_CHEM_CONC_MN,Mn concentration in the sample dried at 65 °C,mgMn kg-1
VEG_CHEM_CONC_C,C concentration in the sample dried at 65 °C,gC kg-1
VEG_CHEM_CONC_N,N concentration in the sample dried at 65 °C,gN kg-1
VEG_CHEM_CONC_P,P concentration in the sample dried at 65 °C,gP kg-1
VEG_CHEM_CONC_K,K concentration in the sample dried at 65 °C,gK kg-1
VEG_CHEM_CONC_ZN,Zn concentration in the sample dried at 65 °C,mgZn kg-1
VEG_CHEM_DRYRATIO,Ratio of dry mass at 103 °C divided by dry mass at 65 °C,%
VEG_CHEM_STATISTIC,Vegetation chemistry statistic,LIST(STATISTIC)
VEG_CHEM_STATISTIC_METHOD,Vegetation chemistry statistic method,LIST(STATISTIC_METHOD)
VEG_CHEM_STATISTIC_NUMBER,Number of observations used to determine Vegetation chemistry statistic,integer number
VEG_CHEM_DATE,Vegetation chemistry measurement sampling date,YYYYMMDDHHMM
VEG_CHEM_DATE_START,Vegetation chemistry measurement sampling date start,YYYYMMDDHHMM
VEG_CHEM_DATE_END,Vegetation chemistry measurement sampling date end,YYYYMMDDHHMM
VEG_CHEM_DATE_UNC,Uncertainty in the Vegetation chemistry measurement sampling date,days
VEG_CHEM_COMMENT,Vegetation chemistry comments,free text
